dag_id,task_count,topology_family,weight_type,allocation,phase_profile,P,wall_time_seconds,outcome_recorded
exp08_development_n16_mixed_lognormal_05,16,mixed,lognormal,low,io,8,0.000480916,false
exp08_development_n16_mixed_lognormal_05,16,mixed,lognormal,high,io,8,0.000485750,false
exp08_development_n16_mixed_lognormal_06,16,mixed,lognormal,low,io,8,0.000478917,false
exp08_development_n16_mixed_lognormal_06,16,mixed,lognormal,high,io,8,0.000473792,false
exp08_development_n16_mixed_lognormal_07,16,mixed,lognormal,low,io,8,0.000473584,false
exp08_development_n16_mixed_lognormal_07,16,mixed,lognormal,high,io,8,0.000468667,false
exp08_development_n16_mixed_lognormal_08,16,mixed,lognormal,low,io,8,0.000474917,false
exp08_development_n16_mixed_lognormal_08,16,mixed,lognormal,high,io,8,0.000468584,false
exp08_development_n16_mixed_lognormal_09,16,mixed,lognormal,low,io,8,0.000626666,false
exp08_development_n16_mixed_lognormal_09,16,mixed,lognormal,high,io,8,0.000578375,false
exp08_development_n16_chain_like_homogeneous_00,16,chain_like,homogeneous,low,io,8,0.000500459,false
exp08_development_n16_chain_like_homogeneous_00,16,chain_like,homogeneous,high,io,8,0.000489458,false
exp08_development_n16_chain_like_homogeneous_01,16,chain_like,homogeneous,low,io,8,0.000478583,false
exp08_development_n16_chain_like_homogeneous_01,16,chain_like,homogeneous,high,io,8,0.000589166,false
exp08_development_n16_chain_like_homogeneous_02,16,chain_like,homogeneous,low,io,8,0.000476250,false
exp08_development_n16_chain_like_homogeneous_02,16,chain_like,homogeneous,high,io,8,0.000466875,false
exp08_development_n16_chain_like_homogeneous_03,16,chain_like,homogeneous,low,io,8,0.000458833,false
exp08_development_n16_chain_like_homogeneous_03,16,chain_like,homogeneous,high,io,8,0.000454208,false
exp08_development_n16_chain_like_homogeneous_04,16,chain_like,homogeneous,low,io,8,0.000455625,false
exp08_development_n16_chain_like_homogeneous_04,16,chain_like,homogeneous,high,io,8,0.000456833,false
exp08_development_n16_chain_like_homogeneous_05,16,chain_like,homogeneous,low,io,8,0.000472208,false
exp08_development_n16_chain_like_homogeneous_05,16,chain_like,homogeneous,high,io,8,0.000462791,false
exp08_development_n16_chain_like_homogeneous_06,16,chain_like,homogeneous,low,io,8,0.000469917,false
exp08_development_n16_chain_like_homogeneous_06,16,chain_like,homogeneous,high,io,8,0.000524583,false
exp08_development_n16_chain_like_homogeneous_07,16,chain_like,homogeneous,low,io,8,0.000469667,false
exp08_development_n16_chain_like_homogeneous_07,16,chain_like,homogeneous,high,io,8,0.000464333,false
exp08_development_n16_chain_like_homogeneous_08,16,chain_like,homogeneous,low,io,8,0.000459875,false
exp08_development_n16_chain_like_homogeneous_08,16,chain_like,homogeneous,high,io,8,0.000473958,false
exp08_development_n16_chain_like_homogeneous_09,16,chain_like,homogeneous,low,io,8,0.000468000,false
exp08_development_n16_chain_like_homogeneous_09,16,chain_like,homogeneous,high,io,8,0.000460458,false
exp08_development_n16_chain_like_lognormal_00,16,chain_like,lognormal,low,io,8,0.000482542,false
exp08_development_n16_chain_like_lognormal_00,16,chain_like,lognormal,high,io,8,0.000480375,false
exp08_development_n16_chain_like_lognormal_01,16,chain_like,lognormal,low,io,8,0.000482167,false
exp08_development_n16_chain_like_lognormal_01,16,chain_like,lognormal,high,io,8,0.000479417,false
exp08_development_n16_chain_like_lognormal_02,16,chain_like,lognormal,low,io,8,0.000473959,false
exp08_development_n16_chain_like_lognormal_02,16,chain_like,lognormal,high,io,8,0.000457125,false
exp08_development_n16_chain_like_lognormal_03,16,chain_like,lognormal,low,io,8,0.000456792,false
exp08_development_n16_chain_like_lognormal_03,16,chain_like,lognormal,high,io,8,0.000613250,false
exp08_development_n16_chain_like_lognormal_04,16,chain_like,lognormal,low,io,8,0.000507708,false
exp08_development_n16_chain_like_lognormal_04,16,chain_like,lognormal,high,io,8,0.000531958,false
exp08_development_n16_chain_like_lognormal_05,16,chain_like,lognormal,low,io,8,0.000494250,false
exp08_development_n16_chain_like_lognormal_05,16,chain_like,lognormal,high,io,8,0.000491334,false
exp08_development_n16_chain_like_lognormal_06,16,chain_like,lognormal,low,io,8,0.000480417,false
exp08_development_n16_chain_like_lognormal_06,16,chain_like,lognormal,high,io,8,0.000519917,false
